Herb,Alternative_Herb,Common_Disease_Count,Common_Action_Count,Common_Dosha_Count,Common_Compound_Count,Recommendation_Score
Bitter medicinal substances,Bitter substances,4,2,3,0,2.8
Astringent medicinal substances,Astringent substances,2,4,3,0,2.6
Pippali,Shunthi,2,3,1,0,1.9
Salty medicinal substances,Salty substances,1,2,2,0,1.4
Shunthi,Citraka,1,2,1,0,1.2
Guduchi,Bitter medicinal substances,1,1,2,0,1.1
Pungent medicinal substances,Pungent substances,1,1,2,0,1.1
Guduchi,Bitter substances,1,1,2,0,1.1
Sweet medicinal substances,Astringent medicinal substances,1,0,3,0,1.0
Sweet medicinal substances,Milk,0,2,2,0,1.0
Pippali,Sour substances,1,2,0,0,1.0
Sweet medicinal substances,Astringent substances,1,0,3,0,1.0
Sweet medicinal substances,Sweet substances,1,1,1,0,0.9
Ghee,Milk,1,1,1,0,0.9
Astringent medicinal substances,Salty substances,1,0,2,0,0.8
Salty medicinal substances,Bitter medicinal substances,1,0,2,0,0.8
Sweet medicinal substances,Pungent medicinal substances,1,0,2,0,0.8
Salty medicinal substances,Bitter substances,1,0,2,0,0.8
Bitter medicinal substances,Pungent substances,1,0,2,0,0.8
Shunthi,Warm water,1,0,2,0,0.8
Pungent substances,Bitter substances,1,0,2,0,0.8
Pippali,Arka,0,2,1,0,0.8
Sweet medicinal substances,Salty medicinal substances,1,0,2,0,0.8
Yavagu,Milk,1,1,0,0,0.7
Pippali,Sour medicinal substances,1,1,0,0,0.7
Pungent substances,Astringent substances,0,1,2,0,0.7
Kapittha,Musta,1,1,0,0,0.7
Yavagu,Ghee,1,1,0,0,0.7
Astringent medicinal substances,Pungent substances,0,1,2,0,0.7
Shunthi,Pungent medicinal substances,0,1,2,0,0.7
Guduchi,Aguru,1,0,1,0,0.6
Shunthi,Sour substances,0,2,0,0,0.6
Bitter medicinal substances,Astringent medicinal substances,0,0,3,0,0.6
Bitter medicinal substances,Astringent substances,0,0,3,0,0.6
Astringent medicinal substances,Bitter substances,0,0,3,0,0.6
Astringent medicinal substances,Triphala,0,0,3,0,0.6
Shunthi,Ghee,1,0,1,0,0.6
Shunthi,Food,1,0,1,0,0.6
Sour vipaka substances,Sour substances,1,0,1,0,0.6
Bitter medicinal substances,Triphala,0,0,3,0,0.6
Shunthi,Milk,1,0,1,0,0.6
Shunthi,Heavy food,1,0,1,0,0.6
Triphala,Astringent substances,0,0,3,0,0.6
Pippali,Warm water,1,0,1,0,0.6
Triphala,Bitter substances,0,0,3,0,0.6
